city,cloudiness,country,date,humidity,lat,lng,max_Temp,wind_Speed
smoky lake,5,CA,09-01-2019,90,54.11,-112.47,14.44,3.58
samarai,93,PG,09-01-2019,86,-10.62,150.67,21.15,2.86
sorong,81,ID,09-01-2019,88,-0.86,131.25,23.25,3.66
kingston,20,JM,09-01-2019,55,17.97,-76.79,32.0,9.3
cidreira,36,BR,09-01-2019,50,-30.17,-50.22,17.35,3.37
margate,20,AU,09-01-2019,81,-43.03,147.26,8.0,3.6
songea,5,TZ,09-01-2019,60,-10.68,35.65,21.0,3.6
moree,0,AU,09-01-2019,52,-29.46,149.84,8.0,1.65
anloga,40,GH,09-01-2019,88,5.79,0.9,25.0,5.7
ugoofaaru,100,MV,09-01-2019,75,5.67,73.0,28.25,3.53
miraflores,0,PE,09-01-2019,10,-16.39,-71.52,22.0,4.1
leh,10,IN,09-01-2019,43,34.16,77.58,10.05,1.09
sapa,75,PH,09-01-2019,88,14.32,120.76,26.11,1.0
chuy,0,UY,09-01-2019,50,-33.69,-53.46,14.85,5.34
palmer,0,AU,09-01-2019,87,-34.85,139.16,11.11,2.6
avarua,77,CK,09-01-2019,82,-21.21,-159.78,18.0,3.6
almaznyy,0,RU,09-01-2019,36,48.03,40.04,24.0,6.0
bonavista,19,CA,09-01-2019,71,48.65,-53.11,17.78,1.34
sulangan,92,PH,09-01-2019,78,11.14,123.72,26.65,5.19
la rinconada,12,PE,09-01-2019,81,-14.63,-69.45,5.75,4.85
shenjiamen,92,CN,09-01-2019,86,29.96,122.3,25.75,2.08
ayan,48,IR,09-01-2019,59,38.23,44.7,15.15,1.94
enderby,1,CA,09-01-2019,44,50.55,-119.14,25.0,0.3
san cristobal,15,HN,09-01-2019,37,14.68,-86.92,33.85,0.24
banjar,100,ID,09-01-2019,90,-7.37,108.54,21.65,0.52
karratha,5,AU,09-01-2019,39,-20.74,116.85,22.25,8.79
avera,90,US,09-01-2019,70,33.19,-82.53,32.0,4.1
pacifica,20,US,09-01-2019,56,37.61,-122.49,27.78,6.7
yarmouth,75,CA,09-01-2019,56,43.84,-66.12,23.89,3.6
kahta,0,TR,09-01-2019,32,37.78,38.62,28.0,2.6
fukue,75,JP,09-01-2019,88,35.03,136.69,23.89,2.1
tevriz,100,RU,09-01-2019,96,57.51,72.4,7.85,3.06
ahmadpur,100,IN,09-01-2019,85,18.7,76.94,24.05,6.18
srednekolymsk,13,RU,09-01-2019,66,67.46,153.71,1.95,2.43
roald,75,NO,09-01-2019,87,62.58,6.12,12.0,7.7
ashtian,0,IR,09-01-2019,33,34.52,50.0,17.25,1.15
ruston,1,US,09-01-2019,41,32.52,-92.64,34.0,2.1
troitskoye,41,RU,09-01-2019,73,52.98,84.68,9.85,1.38
tulun,3,RU,09-01-2019,91,54.56,100.58,12.25,0.52
zhezkazgan,99,KZ,09-01-2019,49,47.8,67.71,14.05,4.27
zorritos,90,PE,09-01-2019,33,-3.68,-80.68,32.0,4.6
geraldton,90,CA,09-01-2019,100,49.72,-86.95,14.0,2.1
ormara,28,PK,09-01-2019,66,25.21,64.64,29.15,4.31
bandarbeyla,47,SO,09-01-2019,80,9.49,50.81,24.15,11.3
coruripe,52,BR,09-01-2019,71,-10.12,-36.18,26.35,5.29
ozark,40,US,09-01-2019,66,37.02,-93.21,29.44,2.1
gizo,20,IL,09-01-2019,74,31.8,34.94,29.0,2.6
nioro,89,GM,09-01-2019,90,13.79,-15.05,25.05,7.5
mnogovershinnyy,100,RU,09-01-2019,98,53.94,139.92,8.95,3.63
tual,0,ID,09-01-2019,81,-5.67,132.75,24.55,8.47
egvekinot,98,RU,09-01-2019,90,66.32,-179.17,4.65,6.3
wamba,2,CD,09-01-2019,96,2.14,27.99,20.45,0.92
nemuro,0,JP,09-01-2019,82,43.32,145.57,17.95,2.31
coquimbo,20,CL,09-01-2019,71,-29.95,-71.34,14.0,6.7
granard,41,IE,09-01-2019,95,53.78,-7.49,12.05,2.39
kuito,2,AO,09-01-2019,27,-12.38,16.94,19.65,0.96
port blair,81,IN,09-01-2019,81,11.67,92.75,27.65,10.3
polis,0,CY,09-01-2019,78,35.04,32.42,25.0,2.6
sibolga,10,ID,09-01-2019,83,1.74,98.78,27.45,5.44
millinocket,0,US,09-01-2019,48,45.66,-68.71,22.22,3.1
mastic beach,1,US,09-01-2019,56,40.77,-72.85,25.0,5.1
ortakoy,0,TR,09-01-2019,31,38.74,34.04,23.89,3.6
boca do acre,5,BR,09-01-2019,20,-8.76,-67.39,40.85,1.28
jasidih,67,IN,09-01-2019,70,24.51,86.65,29.35,2.37
yumen,98,CN,09-01-2019,19,40.29,97.04,23.85,9.9
turukhansk,100,RU,09-01-2019,82,65.8,87.96,11.65,2.79
lebedinyy,5,RU,09-01-2019,76,58.52,125.52,6.75,2.73
gigmoto,99,PH,09-01-2019,79,13.78,124.39,27.45,2.31
orahovac,0,XK,09-01-2019,30,42.4,20.65,23.33,2.1
vrangel,0,RU,09-01-2019,96,42.73,133.08,13.55,0.41
tiarei,75,PF,09-01-2019,88,-17.53,-149.33,23.89,1.5
ettaiyapuram,100,IN,09-01-2019,68,9.15,78.0,26.45,5.65
bukama,33,CD,09-01-2019,37,-9.2,25.85,26.65,1.92
medea,20,DZ,09-01-2019,74,36.27,2.77,26.0,2.1
godda,96,IN,09-01-2019,61,24.83,87.21,30.95,1.31
coihaique,40,CL,09-01-2019,45,-45.58,-72.07,9.0,4.1
padang,5,ID,09-01-2019,81,-0.92,100.36,27.45,6.62
loukhi,68,RU,09-01-2019,88,66.08,33.04,14.15,2.19
gopalpur,97,BD,09-01-2019,75,24.18,89.13,29.65,2.85
noumea,100,NC,09-01-2019,94,-22.28,166.46,23.89,0.5
lancaster,75,US,09-01-2019,50,40.04,-76.31,27.22,3.1
kalabo,0,ZM,09-01-2019,18,-15.0,22.67,23.75,2.06
virginia beach,40,US,09-01-2019,74,36.85,-75.98,30.0,4.6
qaqortoq,100,GL,09-01-2019,66,60.72,-46.03,10.0,2.6
plettenberg bay,26,ZA,09-01-2019,84,-34.05,23.37,14.55,3.28
namatanai,100,PG,09-01-2019,84,-3.66,152.44,25.85,6.65
riyadh,0,SA,09-01-2019,14,24.63,46.72,37.0,3.1
aklavik,75,CA,09-01-2019,65,68.22,-135.01,8.0,1.5
saravan,20,AM,09-01-2019,52,39.72,45.65,22.0,0.22
athabasca,0,CA,09-01-2019,60,54.72,-113.29,16.15,3.42
nishihara,75,JP,09-01-2019,94,35.74,139.53,26.11,1.0
roma,0,IT,09-01-2019,78,41.89,12.48,27.0,2.6
paola,37,IT,09-01-2019,90,39.36,16.04,22.22,0.45
forbes,0,AU,09-01-2019,65,-33.38,148.01,8.33,2.38
ahipara,100,NZ,09-01-2019,100,-35.17,173.16,9.44,4.83
longyearbyen,75,NO,09-01-2019,93,78.22,15.63,6.0,1.0
puerto del rosario,20,ES,09-01-2019,73,28.5,-13.86,24.0,5.7
takestan,0,IR,09-01-2019,81,36.07,49.69,13.35,3.46
port keats,72,AU,09-01-2019,75,-14.25,129.55,18.85,2.0
valledupar,40,CO,09-01-2019,50,10.46,-73.25,35.0,5.1
kirove,69,UA,09-01-2019,34,47.83,38.01,24.05,2.79
aquiraz,20,BR,09-01-2019,69,-3.9,-38.39,30.0,5.1
dukuhturi,99,ID,09-01-2019,85,-7.24,109.01,21.75,1.49
constitucion,75,MX,09-01-2019,43,23.99,-104.67,22.78,2.1
ambilobe,52,MG,09-01-2019,71,-13.19,49.05,23.05,3.83
vardo,90,US,09-01-2019,64,39.62,-77.74,26.67,2.1
faanui,90,PF,09-01-2019,80,-16.48,-151.75,23.85,6.67
morant bay,20,JM,09-01-2019,55,17.88,-76.41,32.0,9.3
baghdad,0,IQ,09-01-2019,24,33.3,44.38,33.0,2.6
pucallpa,0,PE,09-01-2019,27,-8.38,-74.54,39.65,0.26
fenoarivo,20,MG,09-01-2019,87,-18.93,47.44,15.0,2.1
papagaios,63,BR,09-01-2019,20,-19.45,-44.75,34.95,1.54
tocopilla,68,CL,09-01-2019,81,-22.09,-70.2,13.65,4.67
poya,100,NC,09-01-2019,95,-21.35,165.16,21.95,4.91
abu samrah,0,SY,09-01-2019,55,35.3,37.18,25.15,6.35
cairns,40,AU,09-01-2019,77,-16.92,145.77,19.0,4.6
yurty,10,RU,09-01-2019,97,56.05,97.64,10.85,1.19
boden,90,SE,09-01-2019,88,65.83,21.69,17.0,5.1
hirara,0,JP,09-01-2019,82,24.8,125.28,28.55,6.59
lewiston,40,US,09-01-2019,52,44.1,-70.21,23.33,4.6
ocotepec,0,MX,09-01-2019,31,19.56,-97.65,18.75,2.36
hofn,57,IS,09-01-2019,78,64.25,-15.21,1.45,7.47
acapulco,75,MX,09-01-2019,62,16.86,-99.88,32.0,2.1
waingapu,98,ID,09-01-2019,90,-9.65,120.26,18.65,3.76
koungheul,79,SN,09-01-2019,93,13.98,-14.8,24.65,5.83
tokur,100,RU,09-01-2019,94,53.13,132.9,7.85,0.01
wasserburg,0,AT,09-01-2019,73,48.25,15.7,24.44,2.1
kutulik,32,RU,09-01-2019,96,53.35,102.79,13.95,3.14
aberdeen,90,US,09-01-2019,93,46.98,-123.82,23.89,2.6
west wendover,1,US,09-01-2019,21,40.74,-114.07,28.0,3.6
bambanglipuro,82,ID,09-01-2019,83,-7.95,110.28,24.05,4.98
babynino,0,RU,09-01-2019,93,54.39,35.75,13.0,1.52
swift current,75,CA,09-01-2019,55,50.29,-107.8,18.0,4.6
tigil,69,RU,09-01-2019,97,57.8,158.67,7.35,1.39
merauke,0,ID,09-01-2019,79,-8.49,140.4,23.65,10.33
jurilovca,0,RO,09-01-2019,64,44.77,28.87,25.0,2.6
labuhan,48,ID,09-01-2019,88,-2.54,115.51,22.75,0.7
lubumbashi,4,CD,09-01-2019,25,-11.66,27.48,23.85,2.01
mehamn,40,NO,09-01-2019,72,71.03,27.85,17.0,7.7
podbrdo,0,BA,09-01-2019,60,44.44,17.01,24.0,2.1
arlit,36,NE,09-01-2019,10,18.74,7.39,39.75,1.59
seoul,40,KR,09-01-2019,106,37.57,126.98,21.0,1.0
darnah,0,LY,09-01-2019,68,32.77,22.64,25.55,5.53
raduzhnyy,24,RU,09-01-2019,93,62.1,77.47,7.55,3.7
kavieng,100,PG,09-01-2019,76,-2.57,150.8,27.95,3.18
maroantsetra,67,MG,09-01-2019,99,-15.43,49.74,17.25,0.86
kabansk,40,RU,09-01-2019,72,52.06,106.65,17.0,3.0
buala,10,SB,09-01-2019,82,-8.15,159.59,26.75,3.26
wronki,20,PL,09-01-2019,64,52.71,16.37,22.78,3.1
kholtoson,100,RU,09-01-2019,92,50.3,103.31,10.45,1.49
san quintin,100,PH,09-01-2019,92,17.54,120.52,23.75,2.02
ouadda,76,CF,09-01-2019,96,8.07,22.4,21.15,1.52
petatlan,75,MX,09-01-2019,62,17.52,-101.27,32.0,3.6
freetown,100,BS,09-01-2019,73,26.61,-78.36,29.45,15.76
ribeirao branco,76,BR,09-01-2019,98,-24.22,-48.77,18.05,1.43
kiunga,97,PG,09-01-2019,96,-6.12,141.3,20.05,0.97
san ramon,40,NI,09-01-2019,54,12.92,-85.84,29.0,1.96
phulabani,100,IN,09-01-2019,92,20.47,84.23,23.75,0.87
wewak,98,PG,09-01-2019,98,-3.55,143.63,23.05,1.64
singkang,75,MY,09-01-2019,88,2.1,102.8,25.0,4.3
sherlovaya gora,49,RU,09-01-2019,82,50.53,116.31,12.65,2.73
luba,100,PH,09-01-2019,92,17.32,120.7,23.75,2.02
charters towers,0,AU,09-01-2019,93,-20.07,146.27,13.15,0.8
ovalle,4,CL,09-01-2019,33,-30.6,-71.2,23.75,3.23
centenario do sul,87,BR,09-01-2019,52,-22.82,-51.6,27.85,5.24
yar-sale,92,RU,09-01-2019,82,66.83,70.83,10.25,7.7
grenada,20,US,09-01-2019,55,33.77,-89.81,32.22,2.1
komsomolskiy,51,RU,09-01-2019,91,67.55,63.78,6.95,7.3
perpignan,100,FR,09-01-2019,73,42.7,2.88,22.78,4.6
onokhoy,40,RU,09-01-2019,72,51.92,108.05,17.0,3.0
moron,56,HT,09-01-2019,74,18.56,-74.26,29.05,2.04
nhulunbuy,77,AU,09-01-2019,93,-12.18,136.78,19.0,3.68
agrafa,60,GR,09-01-2019,60,39.14,21.65,18.89,0.96
gujranwala,13,PK,09-01-2019,68,32.15,74.19,30.45,3.37
zavetnyy,0,RU,09-01-2019,39,44.93,41.14,19.65,4.41
ketchikan,20,US,09-01-2019,82,55.34,-131.65,16.0,2.6
itabira,20,BR,09-01-2019,21,-19.62,-43.23,32.0,2.1
antofagasta,20,CL,09-01-2019,63,-23.65,-70.4,16.0,5.7
nador,0,MA,09-01-2019,65,35.17,-2.93,26.0,2.6
auki,100,NG,09-01-2019,77,12.18,6.51,26.25,2.26
dera bugti,28,PK,09-01-2019,40,29.03,69.15,33.55,2.79
keroka,90,KE,09-01-2019,85,-0.78,34.95,18.95,2.09
ginir,16,ET,09-01-2019,80,7.14,40.71,17.25,1.68
kalmunai,100,LK,09-01-2019,67,7.42,81.82,26.05,2.16
mabaruma,36,GY,09-01-2019,60,8.2,-59.78,30.85,2.7
santa maria,20,BR,09-01-2019,22,-16.02,-48.01,32.0,3.6
shimoda,33,JP,09-01-2019,77,34.7,138.93,23.33,0.45
annau,75,TM,09-01-2019,35,37.89,58.52,23.0,2.1
douglas,20,US,09-01-2019,51,58.28,-134.39,17.0,2.1
zhigansk,58,RU,09-01-2019,81,66.77,123.37,10.15,3.22
naze,75,NG,09-01-2019,94,5.43,7.07,25.0,1.55
merrill,1,US,09-01-2019,33,42.03,-121.6,26.11,2.1
malinyi,55,TZ,09-01-2019,56,-8.94,36.14,24.55,1.0
laguna,40,BZ,09-01-2019,62,16.17,-88.94,32.0,3.1
puerto escondido,20,MX,09-01-2019,59,15.86,-97.07,33.0,3.1
coria,98,ES,09-01-2019,28,39.98,-6.54,31.11,1.79
moose factory,90,CA,09-01-2019,93,51.26,-80.61,14.0,5.1
jinzhou,1,CN,09-01-2019,58,41.11,121.12,19.45,4.2
mumford,78,GH,09-01-2019,87,5.26,-0.76,24.15,4.4
abengourou,71,CI,09-01-2019,95,6.73,-3.5,24.15,1.55
axim,99,GH,09-01-2019,89,4.87,-2.24,24.35,6.75
vasarosnameny,0,HU,09-01-2019,53,48.13,22.32,24.44,2.1
lerwick,20,GB,09-01-2019,76,60.15,-1.15,10.0,4.6
paita,0,PE,09-01-2019,290,-5.09,-81.11,17.0,5.7
rio brilhante,91,BR,09-01-2019,59,-21.8,-54.54,25.65,4.36
mount isa,0,AU,09-01-2019,13,-20.73,139.49,16.0,3.1
pahrump,1,US,09-01-2019,4,36.21,-115.98,41.11,5.1
pisco,0,PE,09-01-2019,30,-13.71,-76.2,22.0,4.6
balabac,100,PH,09-01-2019,81,7.99,117.06,26.85,4.43
lexington,40,US,09-01-2019,40,38.05,-84.5,32.78,3.1
atambua,88,ID,09-01-2019,75,-9.11,124.89,22.95,4.89
hihya,0,EG,09-01-2019,61,30.67,31.59,28.0,6.7
ponta delgada,20,PT,09-01-2019,64,37.73,-25.67,21.67,6.2
omsukchan,0,RU,09-01-2019,76,62.53,155.8,-0.95,1.23
mitu,0,IR,09-01-2019,61,36.2,46.09,16.25,1.2
buchanan,75,LR,09-01-2019,94,5.88,-10.05,25.0,6.56
salalah,75,OM,09-01-2019,88,17.01,54.1,27.0,2.1
mackay,90,CA,09-01-2019,100,53.65,-115.58,12.0,3.1
deputatskiy,79,RU,09-01-2019,78,69.3,139.9,4.55,1.67
manta,0,RO,09-01-2019,37,45.1,24.1,19.95,0.65
lakatoro,87,VU,09-01-2019,85,-16.11,167.42,26.25,7.19
matamoros,1,US,09-01-2019,44,25.87,-97.51,36.0,5.7
grand gaube,20,MU,09-01-2019,77,-20.01,57.66,20.56,2.6
dodola,100,BF,09-01-2019,90,10.12,-3.28,23.15,1.19
tramore,40,IE,09-01-2019,76,52.16,-7.15,15.0,1.0
mariental,90,BR,09-01-2019,87,-25.72,-49.65,15.0,3.6
anshun,78,CN,09-01-2019,97,26.25,105.93,14.85,1.77
shubarshi,91,KZ,09-01-2019,42,48.59,57.19,13.15,1.99
vaitape,90,PF,09-01-2019,80,-16.52,-151.75,23.85,6.67
okhotsk,100,RU,09-01-2019,93,59.36,143.24,6.95,1.12
luwuk,72,ID,09-01-2019,95,-0.95,122.79,14.35,2.6
tautira,75,PF,09-01-2019,88,-17.73,-149.15,23.89,1.5
chingirlau,83,KZ,09-01-2019,64,51.09,54.08,11.35,2.96
igarka,11,RU,09-01-2019,87,67.47,86.57,9.95,3.48
ust-kuyga,50,RU,09-01-2019,91,70.0,135.55,3.75,1.48
palu,0,ID,09-01-2019,87,-0.9,119.87,23.55,1.32
kropotkin,0,RU,09-01-2019,33,45.43,40.58,22.22,4.08
basco,90,US,09-01-2019,78,40.33,-91.2,25.0,2.57
luan,75,CH,09-01-2019,68,46.36,6.98,21.0,3.1
jasper,40,US,09-01-2019,52,33.83,-87.28,33.89,2.52
ialibu,100,PG,09-01-2019,99,-6.28,143.99,16.35,0.57
jizan,0,SA,09-01-2019,66,16.89,42.56,33.0,2.6
havoysund,0,NO,09-01-2019,68,71.0,24.66,18.0,11.3
kimberley,0,ZA,09-01-2019,25,-28.74,24.76,11.0,0.5
divo,100,CI,09-01-2019,97,5.83,-5.36,23.25,1.72
filadelfia,78,PY,09-01-2019,15,-22.35,-60.04,25.15,3.06
trairi,77,BR,09-01-2019,37,-3.28,-39.27,34.25,4.98
birin,97,NP,09-01-2019,93,26.89,88.07,17.65,0.77
buraydah,40,SA,09-01-2019,16,26.33,43.97,39.0,3.6
stephenville,20,CA,09-01-2019,48,48.55,-58.59,16.0,8.2
tessalit,76,ML,09-01-2019,16,20.2,1.01,38.95,1.82
havelock,90,US,09-01-2019,83,34.88,-76.9,30.0,3.1
chateauroux,90,FR,09-01-2019,93,43.72,0.65,19.44,1.0
moindou,100,NC,09-01-2019,94,-21.69,165.68,21.0,0.5
damara,20,CF,09-01-2019,88,4.96,18.7,25.0,2.1
sarny,31,UA,09-01-2019,70,51.32,26.62,19.75,3.36
imbituba,75,BR,09-01-2019,77,-28.24,-48.67,18.0,4.1
maldonado,40,UY,09-01-2019,57,-34.91,-54.96,11.0,8.7
nurota,0,UZ,09-01-2019,22,40.56,65.69,19.0,2.1
kaniama,92,CD,09-01-2019,58,-7.57,24.18,24.65,0.93
tommot,28,RU,09-01-2019,88,58.97,126.27,6.85,0.83
poniatowa,0,PL,09-01-2019,64,51.19,22.07,27.22,1.0
port hedland,0,AU,09-01-2019,93,-20.31,118.58,16.0,2.1
najran,0,SA,09-01-2019,14,17.54,44.22,32.0,2.1
sao joao da barra,0,BR,09-01-2019,51,-21.64,-41.05,29.0,5.1
petropavlovsk-kamchatskiy,90,RU,09-01-2019,100,53.05,158.65,9.0,1.0
hami,13,CN,09-01-2019,17,42.84,93.51,27.85,4.49
soyo,70,AO,09-01-2019,86,-6.13,12.37,22.05,4.45
panzhihua,100,CN,09-01-2019,93,26.59,101.72,17.85,0.32
loikaw,100,MM,09-01-2019,98,19.67,97.21,17.75,1.35
vestmanna,59,FO,09-01-2019,87,62.16,-7.17,9.0,5.1
oktyabrskiy,82,RU,09-01-2019,77,55.61,37.97,21.11,1.0
bodden town,20,KY,09-01-2019,74,19.28,-81.25,31.67,5.1
biograd na moru,0,HR,09-01-2019,65,43.94,15.45,26.11,1.16
kalghatgi,100,IN,09-01-2019,99,15.18,74.97,21.15,1.02
borogontsy,51,RU,09-01-2019,84,62.67,131.17,9.15,1.94
sindor,77,RU,09-01-2019,82,62.87,51.9,7.35,2.05
vao,11,EE,09-01-2019,80,59.1,26.19,16.55,2.79
portland,40,US,09-01-2019,52,43.66,-70.25,23.0,4.1
cap malheureux,20,MU,09-01-2019,77,-19.98,57.61,20.56,2.6
